"CVE_COMPROBANTE","NOIDENTIFICACION"
"2128013","3377-CCS-024270"
"2128013","3380-CCS-024270"
"2128013","3381-CCS-024270"
"2128013","3386-CCS-024270"
"2128013","3387-CCS-024270"
"2128013","3390-CCS-024270"
"2128013","3391-CCS-024270"
"2128013","3393-CCS-024270"
"2128013","3398-CCS-024270"
"2128013","3399-CCS-024270"
"2128013","3406-CCS-024270"
"2128013","3409-CCS-024270"
"2128013","3410-CCS-024270"
"2128013","3411-CCS-024270"
"2128013","3412-CCS-024270"
"2128013","3415-CCS-024270"
"2128013","3416-CCS-024270"
"2128013","3417-CCS-024270"
"2128013","3420-CCS-024270"
"2128013","3424-CCS-024270"
"2128013","3425-CCS-024270"
"2128013","3426-CCS-024270"
"2128013","3431-CCS-024270"
"2128013","3432-CCS-024270"
"2128013","3438-CCS-024270"
"2128013","3440-CCS-024270"
"2128013","3451-CCS-024270"
"2128013","3471-CCS-024270"
"2128013","3474-CCS-024270"
"2128013","3475-CCS-024270"
"2128013","3476-CCS-024270"
"2128013","3479-CCS-024270"
"2128013","3480-CCS-024270"
"2128013","3481-CCS-024270"
"2128013","3482-CCS-024270"
"2128013","3483-CCS-024270"
"2128013","3484-CCS-024270"
"2128013","3485-CCS-024270"
"2128013","3487-CCS-024270"
"2128013","3501-CCS-024270"
"2128013","3502-CCS-024270"
"2128013","3503-CCS-024270"
"2128013","3504-CCS-024270"
"2128013","3505-CCS-024270"
"2128013","3506-CCS-024270"
"2128013","3508-CCS-024270"
"2128013","3509-CCS-024270"
"2128013","3510-CCS-024270"
"2128013","3511-CCS-024270"
"2128013","3512-CCS-024270"
"2128013","3513-CCS-024270"
"2128013","3514-CCS-024270"
"2128013","3515-CCS-024270"
"2128013","3522-CCS-024270"
"2128013","3523-CCS-024270"
"2128013","3536-CCS-024270"
"2128013","3539-CCS-024270"
"2128013","3540-CCS-024270"
"2128013","3541-CCS-024270"
"2128013","3542-CCS-024270"
"2128013","3543-CCS-024270"
"2128013","3544-CCS-024270"
"2128013","3553-CCS-024270"
"2128013","3564-CCS-024270"
"2128013","3565-CCS-024270"
"2128013","3566-CCS-024270"
"2128013","3572-CCS-024270"
"2128013","3573-CCS-024270"
"2128013","3574-CCS-024270"
"2128013","3583-CCS-024270"
"2128013","3596-CCS-024270"
"2128013","3597-CCS-024270"
"2128013","3605-CCS-024270"
"2128013","3606-CCS-024270"
"2128013","3607-CCS-024270"
"2128013","3608-CCS-024270"
"2128013","3609-CCS-024270"
"2128013","3613-CCS-024270"
"2128013","3619-CCS-024270"
"2128013","3621-CCS-024270"
"2128013","3622-CCS-024270"
"2128013","3623-CCS-024270"
"2128013","3624-CCS-024270"
"2128013","3625-CCS-024270"
"2128013","3627-CCS-024270"
"2128013","3629-CCS-024270"
"2128013","3630-CCS-024270"
"2128013","3631-CCS-024270"
"2128013","3632-CCS-024270"
"2128013","3633-CCS-024270"
"2128013","3634-CCS-024270"
"2128013","3635-CCS-024270"
"2128013","3636-CCS-024270"
"2128013","3637-CCS-024270"
"2128013","3639-CCS-024270"
"2128013","3640-CCS-024270"
"2128013","3641-CCS-024270"
"2128013","3642-CCS-024270"
"2128013","3643-CCS-024270"
"2128013","3648-CCS-024270"
"2128013","3649-CCS-024270"
"2128013","3652-CCS-024270"
"2128013","3655-CCS-024270"
"2128013","3656-CCS-024270"
"2128013","3657-CCS-024270"
"2128013","3658-CCS-024270"
"2128013","3660-CCS-024270"
"2128013","3661-CCS-024270"
"2128013","3662-CCS-024270"
"2128013","3663-CCS-024270"
"2128013","3664-CCS-024270"
"2128013","3665-CCS-024270"
"2128013","3666-CCS-024270"
"2128013","3667-CCS-024270"
"2128013","3669-CCS-024270"
"2128013","3670-CCS-024270"
"2128013","3671-CCS-024270"
"2128013","3672-CCS-024270"
"2128013","3673-CCS-024270"
"2128013","3674-CCS-024270"
"2128013","3675-CCS-024270"
