2,7550 6X2,911,3,3,3,NULL,1219020911,L0-265,l0-265,911,3.00,300,NULL,2002,494 HF1   ,3CER2E81025010240,239092,RAG,4,MEX,NULL,NULL
2,7550 4X2,25,1,1,1,NULL,1213010025,X3-620,X3-620,25,3.00,300,NULL,2002,357HF1    ,YV3R6H31021003245,152974,AHH,0,JOJ,NULL,NULL
2,7550 4X2,31,1,1,1,NULL,1213030031,X3-441,X3-441,31,3.00,300,NULL,2001,138HF9    ,YV3R6H3121A002824,138HF9,AHH,0,JOJ,NULL,NULL
1,MBR,53,6,6,1,NULL,1213030053,x3-384,X3-839,53,3.00,300,NULL,2002,126HF1    ,YV3R6H3112A003013,150993,AHH,4,JOJ,NULL,NULL
1,MBR,316,6,6,1,NULL,1213030316,X3-405,x3-785,316,3.00,300,NULL,2002,139HF1    ,YV3R6H3112A003156,152173,AHH,4,JOJ,NULL,NULL
2,7550 4X2,321,1,1,1,NULL,1204010321,X3-405,x3-405,321,3.00,300,NULL,2002,129HF1    ,YV3R6H3162A003038,151049,RIV,4,JOJ,NULL,NULL
2,7550 4X2,119,2,2,3,NULL,1213020119,X3-311,x3-311,119,3.00,300,NULL,2001,163 HF7   ,3CER2E71315008711,184307,AHH,4,MEX,NULL,NULL
2,7550 4X2,126,2,2,3,NULL,1213020126,L0-532,X3-835,126,3.00,300,NULL,2001,137 HF7   ,3CER2E71415008880,189023,AHH,4,CCS,NULL,NULL
2,7550 4X2,137,2,2,3,NULL,1213010137,X3-413,x3-413,137,3.00,300,NULL,2001,753 HC8   ,3CER2E71515008970,192549,AHH,4,CCS,NULL,NULL
2,7550 6X2,914,3,3,3,NULL,1213020914,L0-305,L0-532,914,3.00,300,NULL,2002,493 HF1   ,3CER2E81425010239,239091,AHH,4,CCS,NULL,NULL
1,MBR,27,6,6,1,NULL,1219010027,X3-312,x3-866,27,3.00,300,NULL,1994,530 HA2   ,9BM664105RC079559,475984-10-678248,RAG,4,ZAC,NULL,NULL
2,7550 4X2,34,1,1,1,NULL,1219030034,L0-109,l0-109,34,3.00,300,NULL,2001,155HF9    ,YV3R6H3101A002823,149473,RAG,0,JOJ,NULL,NULL
1,MBR,49,6,6,1,NULL,1219010049,X3-530,X3-822,49,3.00,300,NULL,1994,450 HA2   ,9BM664105RC080458,475984-10-681545,RAG,4,JOJ,NULL,NULL
2,7550 4X2,301,1,1,1,NULL,1219030301,X3-312,X3-312,301,3.00,300,NULL,2002,121HF1    ,YV3R6H3132A002946,150519,RAG,4,JOJ,NULL,NULL
1,MBR,419,6,6,1,NULL,1219030419,X3-500,x3-679,419,3.00,300,NULL,2002,137HF1    ,YV3R6H3182A003131,151855,RAG,4,JOJ,NULL,NULL
1,MBR,5,6,6,1,NULL,1204010005,X3-498,X3-852,5,3.00,300,NULL,1994,509 HA2   ,9BM664105RC069496,475984-10-678207,RIV,4,JOJ,NULL,NULL
1,MBR,10,6,6,1,NULL,1204010010,X3-453,x3-794,10,3.00,300,NULL,1994,493 HA2   ,9BM664105RC079464,475984-10-678199,RIV,4,ZAC,NULL,NULL
1,MBR,29,6,6,1,NULL,1204010029,L0-729,x3-727,29,3.00,300,NULL,1994,453 HA2   ,9BM664105RC079597,475984-10-678857,RIV,4,ZAC,NULL,NULL
2,7550 4X2,40,1,1,1,NULL,1204030040,X1-128,X2-729,40,3.00,300,NULL,2001,159HF9    ,YV3R6H3181A002729,148275,RIV,4,JOJ,NULL,NULL
2,7550 4X2,307,1,1,1,NULL,1204030307,L0-740,X3-797,307,3.00,300,NULL,2001,136HF9    ,YV3R6H3161A002731,148277,RIV,0,JOJ,NULL,NULL
2,7550 4X2,309,1,1,1,NULL,1204010309,X3-618,x3-618,309,3.00,300,NULL,1994,510 HA2   ,9BM664105RC079755,475984-10-677467,RIV,4,JOJ,NULL,NULL
2,7550 4X2,410,1,1,1,NULL,1204030410,X3-699,X3-699,410,3.00,300,NULL,2002,345HF1    ,YV3R6H3142A003149,152246,RIV,0,JOJ,NULL,NULL
2,7550 4X2,134,2,2,3,NULL,1204020134,X2-857,X2-857,134,3.00,300,NULL,2001,752 HC8   ,3CER2E71915008972,192551,RIV,4,MEX,NULL,NULL
2,7550 4X2,152,2,2,3,NULL,1204020152,X2-743,x2-743,152,3.00,300,NULL,2001,437 HC8   ,3CER2E71215009445,210983,RIV,4,CCS,NULL,NULL
2,7550 4X2,156,5,5,3,NULL,1204020156,X3-733,X3-733,156,3.00,300,NULL,2001,438 HC8   ,3CER2E71015009444,210982,RIV,4,JOJ,NULL,NULL
2,7550 4X2,162,2,2,3,NULL,1210020162,X2-153,X2-153,162,3.00,300,NULL,2001,124 HF7   ,3CER2E71715008968,192547,BHO,4,MEX,NULL,NULL
2,7550 4X2,181,2,2,3,NULL,1204020181,L0-519,L0-519,181,3.00,300,NULL,2001,144 HF7   ,3CER2E71715008887,189250,RIV,4,CCS,NULL,NULL
2,7550 4X2,3,1,1,1,NULL,1203030003,X3-452,X3-452,3,3.00,300,NULL,2002,128HF1    ,YV3R6H3102A003035,151046,ROS,0,JOJ,NULL,NULL
1,MBRS,4,6,6,1,NULL,1203010004,X3-452,X3-840,4,2.85,300,NULL,1993,160 HF5   ,9BM664126NC074844,476985-10-660410,ROS,4,ZAC,NULL,NULL
2,7550 4X2,15,1,1,1,NULL,1203010015,X3-701,X3-701,15,3.00,300,NULL,1994,462 HA2   ,9BM664105RC079514,475984-10-678382,ROS,4,JOJ,NULL,NULL
1,MBR,26,6,6,1,NULL,1203010026,X3-526,x3-526,26,2.85,300,NULL,1993,380 HA2   ,9BM664126NC074366,476985-10-658945,ROS,4,ZAC,NULL,NULL
2,7550 4X2,36,1,1,1,NULL,1203010036,L0-500,l0-500,36,3.00,300,NULL,1994,490 HA2   ,9BM664105RC079751,475984-10-678445,ROS,4,JOJ,NULL,NULL
2,7550 4X2,37,1,1,1,NULL,1203030037,X3-456,x3-456,37,3.00,300,NULL,2002,132HF1    ,YV3R6H3192A003082,151612,ROS,0,JOJ,NULL,NULL
2,7550 4X2,47,1,1,1,NULL,1203030047,X3-689,X3-689,47,3.00,300,NULL,2002,347HF1    ,YV3R6H3122A003151,152248,ROS,0,JOJ,NULL,NULL
1,MBR,201,6,6,1,NULL,1203010201,X3-502,x3-694,201,2.85,300,NULL,1993,518 HA2   ,9BM664126NC075014,476985-10-662243,ROS,4,JOJ,NULL,NULL
1,MBR,204,6,6,1,NULL,1203010204,X3-503,x3-817,204,3.00,300,NULL,1994,512 HA2   ,9BM664105RC079586,475984-10-678466,ROS,4,JOJ,NULL,NULL
2,7550 4X2,304,1,1,1,NULL,1203030304,X3-098,X3-098,304,3.00,300,NULL,2002,354HF1    ,YV3R6H31521003242,152971,ROS,4,JOJ,NULL,NULL
2,7550 4X2,305,1,1,1,NULL,1203010305,X3-768,x3-835,305,3.00,300,NULL,1994,198 RA7   ,9BM664105RC079508,475984-10-677743,ROS,4,JOJ,NULL,NULL
1,MBR,325,6,6,1,NULL,1203010325,x3-383,x3-597,325,2.85,300,NULL,1993,737 HA2   ,9BM664126NC074349,476985-10-659079,ROS,4,ZAC,NULL,NULL
2,7550 4X2,330,1,1,1,NULL,1203010330,X3-237,X3-237,330,3.00,300,NULL,1994,454 HA2   ,9BM664105RC079610,475984-10-678939,ROS,0,JOJ,NULL,NULL
2,7550 4X2,403,1,1,1,NULL,1203010403,L0-082,L0-082,403,3.00,300,NULL,1994,513 HA2   ,9BM664105RC079544,475984-10-678432,ROS,4,JOJ,NULL,NULL
1,MBRS,404,6,6,1,NULL,1203010404,X3-466,x3-795,404,2.85,300,NULL,1993,392 HA2   ,9BM664126NC074434,476985-10-660190,ROS,2,JOJ,NULL,NULL
1,MBR,415,6,6,1,NULL,1203010415,X3-456,x3-846,415,2.85,300,NULL,1993,382 HA2   ,9BM664126NC074958,476985-10-661420,ROS,4,JOJ,NULL,NULL
2,7550 4X2,115,2,2,3,NULL,1203020115,X3-112,X3-049,115,3.00,300,NULL,2001,440HC8    ,3CER2E71815009126,197445,ROS,4,CCS,NULL,NULL
